beta,2,3.07692%
end,2,3.07692%
test,2,3.07692%
123number,1,1.53846%
APPLE,1,1.53846%
APPLE123,1,1.53846%
Alpha,1,1.53846%
AnotherWord,1,1.53846%
Apple,1,1.53846%
BANANA,1,1.53846%
BETA,1,1.53846%
Banana,1,1.53846%
Beta,1,1.53846%
Continuation123,1,1.53846%
END,1,1.53846%
End,1,1.53846%
HELLO,1,1.53846%
HeLLo,1,1.53846%
Hello,1,1.53846%
LineEndWord,1,1.53846%
MIXEDcase,1,1.53846%
MixedCASE,1,1.53846%
Mixedcase,1,1.53846%
NUMBER123,1,1.53846%
Number123,1,1.53846%
REPETITION,1,1.53846%
Repetition,1,1.53846%
Test,1,1.53846%
This,1,1.53846%
ZEBRA,1,1.53846%
Zebra,1,1.53846%
a,1,1.53846%
aPPle,1,1.53846%
abcXYZ,1,1.53846%
alphanum123,1,1.53846%
apple,1,1.53846%
are,1,1.53846%
banAna,1,1.53846%
banana,1,1.53846%
but,1,1.53846%
count,1,1.53846%
delta,1,1.53846%
eNd,1,1.53846%
file,1,1.53846%
final,1,1.53846%
gamma,1,1.53846%
hello,1,1.53846%
here,1,1.53846%
is,1,1.53846%
mixedCase,1,1.53846%
number123,1,1.53846%
only,1,1.53846%
rePeTiTiOn,1,1.53846%
repetition,1,1.53846%
some,1,1.53846%
tESt,1,1.53846%
tEsT,1,1.53846%
will,1,1.53846%
word,1,1.53846%
words,1,1.53846%
world,1,1.53846%
zebra,1,1.53846%
